Date,Description,Amount,AutoCategory,AccHolder,BankName,AccType,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,Zelle payment to YEN-LEN 17363336240,-16,,joint,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,UBER   TRIP HELP.UBER.COM CA                 05/14,-11.69,,nowrin,chase,debit,travel,cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,Zipcar Extend MAY15,-5.04,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,MARKET@WORK 2067379149,-1.79,Food & Drink,joint,chase,credit,groceries,snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,INTEREST PAYMENT,0.01,,nowrin,chase,savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,PATEL BROTHERS OF ANN ARB,-88.99,Groceries,joint,chase,credit,groceries,patel brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,SPEEDWAY 08708 ANN ARBOR,-11.95,Gas,joint,chase,credit,travel,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,PANDA EXPRESS #1124,-9.86,Food & Drink,joint,chase,credit,restaurant,panda express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,MICHIGAN FLYER  L.L.C.,-6,Travel,joint,chase,credit,travel,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,GREG MAT WWW.GREGMAT.C CA                    05/16,-5,,sachin,chase,debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,University of Mi P2P PAYMNT Prithwish Ghosh WEB ID: 9000071008,200,,nowrin,chase,debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,Zelle payment to ZHENHUA 17380857166,-190,,joint,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,DD DOORDASH ITALIANPE,-36.18,Food & Drink,joint,chase,credit,restaurant,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,AMZN Mktp US*501UB90E3,-27.97,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,Amazon.com*KY0Z49FG3,-21.09,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,Zipcar Trip MAY17,-17.1,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,KROGER 605,-12.29,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,UBER   TRIP,-11.97,Travel,joint,chase,credit,travel,cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,DOORDASH DASHPASS,-9.99,Food & Drink,joint,chase,credit,restaurant,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,MICHIGAN FLYER  L.L.C.,-6,Travel,joint,chase,credit,travel,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,MICHIGAN FLYER  L.L.C.,-6,Travel,joint,chase,credit,travel,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2023,Zipcar Extend MAY17,-11.39,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2023,KROGER 605,-20.73,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2023,OM MARKET,-11.98,Shopping,joint,chase,credit,groceries,om market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2023,Zipcar Trip MAY19,-11.4,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2023,AMZN Mktp US*EF9GM5G93,-21.19,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2023,Amazon Prime*CP3C49BK3,-7.94,Bills & Utilities,joint,chase,credit,subscription,amazon prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2023,Zipcar Extend MAY19,-5.7,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2023,Hulu 877-8244858 CA,-1.99,Bills & Utilities,joint,chase,credit,subscription,hulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,KROGER 605,-60.85,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,TMOBILE*AUTO PAY 800-937-8997 WA             05/20,-166.83,,nowrin,chase,debit,mobile,tmobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,WALMART.COM 800-966-6546 AR                  05/19,-40.26,,nowrin,chase,debit,groceries,walmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,AMZN Mktp US*OK2P80LG3,-33.6,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,KROGER 605,-19.11,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,DD DOORDASH NAMASTEFL,-17.68,Food & Drink,joint,chase,credit,restaurant,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,SPEEDWAY 08708 ANN ARBOR,-15.94,Gas,joint,chase,credit,travel,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,Zipcar Trip MAY22,-10.07,Travel,joint,chase,credit,travel,rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,MARKET@WORK 2067379149,-5.68,Food & Drink,joint,chase,credit,groceries,snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,Zelle payment to ZHENHUA 17405030447,-3,,joint,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,AMAZON PRIME AMZN.COM/BILLWA6UGOOMP8N6E,7.94,Payments and Credits,sachin,discover,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,AMZN Mktp US,21.19,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,Univ of Michigan UMich ePay 430248150       WEB ID: 1364199567,-163.69,,joint,chase,debit,house,rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,MICHIGAN FLYER  L.L.C.,-50,Travel,joint,chase,credit,travel,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,AMZN Mktp US*RZ0LM4UO3,-17.99,Shopping,joint,chase,credit,shopping,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,KROGER 605,-8.99,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2023,LinkedIn Pre 8331585536,-39.99,Bills & Utilities,nowrin,chase,credit,subscription,linkedin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2023,SQ *BLANK SLATE CREAMERY,-19.25,Food & Drink,joint,chase,credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2023,DD DOORDASH TASTEOFIN,#VALUE!,Food & Drink,joint,chase,credit,restaurant,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2023,GOOGLE *Google Storage,-1.99,Bills & Utilities,joint,chase,credit,subscription,google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2023,MARKET@WORK 2067379149,-1.49,Food & Drink,joint,chase,credit,groceries,snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2023,BLFD Main        Single                     PPD ID: 1261656249,580,,nowrin,chase,debit,salary,littlecaesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2023,ARGO CANOE LIVERY,-30,Shopping,joint,chase,credit,entertainment,kayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2023,KROGER 605,-15.7,Groceries,joint,chase,credit,groceries,kroger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2023,DD DOORDASH NAMASTEFL,-16.68,Food & Drink,joint,chase,credit,restaurant,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2023,ZELLE PAYMENT TO RUCHIKA 17466779879,-48,,joint,chase,debit,transfer,zelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
